x [m],y [m],u [m/s],v [m/s],Vector type [-]
0.1534536928,0.2336537838,0.06128470972,-0.01934388652,1
0.1534536928,0.2387057543,0.0391411297,-0.01687633246,1
0.1534536928,0.2437577248,0.0384308435,-0.02753617242,1
0.1534536928,0.2488096952,0.04218172282,-0.03689105436,1
0.1534536928,0.2538616657,0.04373231903,-0.04861322045,1
0.1534536928,0.2589136362,0.04311849177,-0.05457557738,1
0.1534536928,0.2639656067,0.03381668031,-0.05363932252,1
0.1534536928,0.269017607,0.02266650088,-0.04606581479,1
0.1534536928,0.2740695775,0.01712748967,-0.03993741423,1
0.1534536928,0.2791215479,0.01355245337,-0.03456444666,1
0.1534536928,0.2841735184,0.01252456196,-0.03294744715,1
0.1534536928,0.2892254889,0.01191061176,-0.03350540623,1
0.1534536928,0.2942774594,0.01059050392,-0.03557869419,1
0.1534536928,0.2993294299,0.009384334087,-0.04031745344,1
0.1534536928,0.3043814003,0.009648061357,-0.05003910139,1
0.1534536928,0.3094333708,0.008476260118,-0.0613906011,1
0.1534536928,0.3144853413,0.001037481474,-0.07319311053,1
0.1534536928,0.3195373416,-0.00933327619,-0.07585778087,1
0.1534536928,0.3245893121,-0.01700473391,-0.05929524451,1
0.1534536928,0.3296412826,-0.02533323318,-0.04648689553,1
0.1534536928,0.334693253,-0.02768534981,-0.03591611981,1
0.1534536928,0.3397452235,-0.03019431047,-0.03121584654,1
0.1534536928,0.344797194,-0.02748247422,-0.02806756087,1
0.1534536928,0.3498491645,-0.02687127702,-0.02554709651,1
0.1534536928,0.354901135,-0.033326298,-0.01511215698,1
0.1585056782,0.2336537838,0.05318316445,-0.01129319239,1
0.1585056782,0.2387057543,0.05660190061,-0.01721316576,1
0.1585056782,0.2437577248,0.05584738776,-0.02290404961,1
0.1585056782,0.2488096952,0.05133571476,-0.03041297197,1
0.1585056782,0.2538616657,0.0444955416,-0.03625272214,1
0.1585056782,0.2589136362,0.03465300053,-0.03977814689,1
0.1585056782,0.2639656067,0.02290744334,-0.03992218897,1
0.1585056782,0.269017607,0.01648111269,-0.03946477547,1
0.1585056782,0.2740695775,0.01245076023,-0.03644095361,1
0.1585056782,0.2791215479,0.01027542353,-0.03258813918,1
0.1585056782,0.2841735184,0.009308550507,-0.02882901207,1
0.1585056782,0.2892254889,0.01055540983,-0.02637382969,1
0.1585056782,0.2942774594,0.01209680177,-0.02748985589,1
0.1585056782,0.2993294299,0.01251463406,-0.02935968526,1
0.1585056782,0.3043814003,0.01215406507,-0.03334088996,1
0.1585056782,0.3094333708,0.0095089674,-0.03765996918,1
0.1585056782,0.3144853413,0.001806357992,-0.04455801472,1
0.1585056782,0.3195373416,-0.009085537866,-0.04951729253,1
0.1585056782,0.3245893121,-0.02008037642,-0.04680849984,1
0.1585056782,0.3296412826,-0.02922966518,-0.04295796901,1
0.1585056782,0.334693253,-0.03278686479,-0.03581190109,1
0.1585056782,0.3397452235,-0.03447813913,-0.03033722565,1
0.1585056782,0.344797194,-0.03372665122,-0.02439730614,1
0.1585056782,0.3498491645,-0.03214434907,-0.02126110718,1
0.1585056782,0.354901135,-0.03264324367,-0.01874108985,1
0.1635576487,0.2336537838,0.05930256471,-0.006169048604,1
0.1635576487,0.2387057543,0.06419106573,-0.0132418992,1
0.1635576487,0.2437577248,0.06201913953,-0.01931897178,1
0.1635576487,0.2488096952,0.05587462708,-0.02768256888,1
0.1635576487,0.2538616657,0.04305245355,-0.03541795164,1
0.1635576487,0.2589136362,0.02834559232,-0.04049872234,1
0.1635576487,0.2639656067,0.01730126701,-0.04267297313,1
0.1635576487,0.269017607,0.01032070443,-0.03927701712,1
0.1635576487,0.2740695775,0.006625542883,-0.0330096148,1
0.1635576487,0.2791215479,0.005737639032,-0.02740920335,1
0.1635576487,0.2841735184,0.007139366586,-0.02381658368,1
0.1635576487,0.2892254889,0.009785829112,-0.02203176543,1
0.1635576487,0.2942774594,0.01283041388,-0.02179218829,1
0.1635576487,0.2993294299,0.01564467698,-0.02360727452,1
0.1635576487,0.3043814003,0.01695250906,-0.02685409226,1
0.1635576487,0.3094333708,0.01485517249,-0.0336005576,1
0.1635576487,0.3144853413,0.006904541049,-0.0448583141,1
0.1635576487,0.3195373416,-0.009232472628,-0.05110998079,1
0.1635576487,0.3245893121,-0.02470290288,-0.04476667568,1
0.1635576487,0.3296412826,-0.03572886065,-0.04101676121,1
0.1635576487,0.334693253,-0.04003188014,-0.03364919871,1
0.1635576487,0.3397452235,-0.03972217068,-0.02675389126,1
0.1635576487,0.344797194,-0.03795480356,-0.02079829387,1
0.1635576487,0.3498491645,-0.03584487736,-0.01761350408,1
0.1635576487,0.354901135,-0.03269962966,-0.01612113975,1
0.1686096191,0.2336537838,0.06440562755,0.002048747614,1
0.1686096191,0.2387057543,0.06908572465,-0.005884510465,1
0.1686096191,0.2437577248,0.06886629015,-0.01303115115,1
0.1686096191,0.2488096952,0.06001115218,-0.02330630831,1
0.1686096191,0.2538616657,0.04182587564,-0.03567094356,1
0.1686096191,0.2589136362,0.02268224955,-0.04704373702,1
0.1686096191,0.2639656067,0.005838111043,-0.04476144537,1
0.1686096191,0.269017607,-0.0005538295954,-0.03641381115,1
0.1686096191,0.2740695775,-0.001755266916,-0.02737559751,1
0.1686096191,0.2791215479,0.0003688687866,-0.02109517343,1
0.1686096191,0.2841735184,0.003712366335,-0.01653626561,1
0.1686096191,0.2892254889,0.008424979635,-0.01292312238,1
0.1686096191,0.2942774594,0.01332864352,-0.01187111996,1
0.1686096191,0.2993294299,0.01906555891,-0.01325207762,1
0.1686096191,0.3043814003,0.0236407239,-0.01692428626,1
0.1686096191,0.3094333708,0.0261693541,-0.02755106054,1
0.1686096191,0.3144853413,0.0144058736,-0.03914977238,1
0.1686096191,0.3195373416,-0.007228379138,-0.04894498736,1
