PIVlab, ASCII chart output - 13-Mar-2024
FRAME: 24, filenames: A:[24]2 vortices tapados mismo sentido clase 4.mp4 & B:[25]2 vortices tapados mismo sentido clase 4.mp4, conversion factor xy (px -> m): 0.00030272, conversion factor uv (px/frame -> m/s): 0.0090842
x [m],y [m],u [m/s],v [m/s],Vector type [-],vorticity [1/s],magnitude [m/s],divergence [1/s],dcev [1],simple shear [1/s],simple strain [1/s],vector direction [degrees]
0.1262357086,0.237637952,0.006011030637,-0.01275485102,1,-0.375772953,0.01410030946,1.382988453,0,1.723864555,0.1709572673,-64.766716
0.1262357086,0.2424815297,0.009275823832,-0.009819567204,1,0.3790343404,0.01350795384,0.464903146,0,0.5043469667,0.1038932502,-46.63105774
0.1262357086,0.2473251075,0.01028975658,-0.01100627147,1,0.3114010096,0.01506708656,-0.1806857884,0,0.08154429495,0.3577234447,-46.9270134
0.1262357086,0.2521686852,0.01117908489,-0.01242739428,1,0.03575191647,0.01671562344,-0.2429149449,0,0.1410374045,0.2624891102,-48.02697754
0.1262357086,0.257012248,0.01114604808,-0.01345423143,1,-0.4217098951,0.01747142524,-0.2499677241,0,0.2081290483,0.2298809588,-50.36022568
0.1262357086,0.2618558407,0.01014458947,-0.01475157868,1,-0.7912657261,0.01790312119,-0.07483059168,0,0.4767659903,0.09237964451,-55.48388672
0.1262357086,0.2666994035,0.009622744285,-0.01426412724,1,-0.6343951225,0.01720646769,-0.1995310336,0,0.2425884902,-0.1003753692,-55.99594498
0.1262357086,0.2715429962,0.008246843703,-0.01523184683,1,-0.6972929239,0.01732107252,-0.1151726544,0,0.1177501678,-0.3136458695,-61.56794739
0.1262357086,0.276386559,0.006815684028,-0.01330280676,1,-0.511166811,0.01494718064,0.4115064442,0,0.03742283583,-0.3409270346,-62.87170029
0.1262357086,0.2812301517,0.005952227861,-0.01158737671,1,-0.3198289871,0.01302675344,0.4202786088,0,-0.07146029919,0.2259626538,-62.81124496
0.1262357086,0.2860737145,0.004920443986,-0.01236162242,1,-0.3463226259,0.0133049041,0.5713298321,0,0.2678758204,0.7669463158,-68.29537201
0.1262357086,0.2909172773,0.005572265945,-0.01253485773,1,-0.1956976801,0.01371760946,0.4188168645,0,0.3500816226,0.4228610992,-66.03286743
0.1262357086,0.29576087,0.005668214522,-0.01238121092,1,-0.07670387626,0.01361701265,0.1263666749,0,0.1197990775,-0.03990813345,-65.40132141
0.1262357086,0.3006044328,0.005781000946,-0.01172949281,1,0.08667022735,0.0130767338,0.06890770793,0,-0.1798293591,-0.3315049708,-63.76314163
0.1262357086,0.3054480255,0.005216991063,-0.01044178102,1,0.4490466714,0.01167252287,0.1566093117,0,-0.9696640372,-0.2625487447,-63.45206833
0.1262357086,0.3102915883,0.003259350313,-0.009699268267,1,0.7932137251,0.01023226138,0.01739920676,0,-1.553141475,0.3802736402,-71.42555237
0.1262357086,0.315135181,0.001536222175,-0.01219939161,1,0.3301279247,0.01229573693,-0.6177697778,0,-0.712831378,0.8760473132,-82.82274628
0.1262357086,0.3199787438,0.001405696268,-0.01693468727,1,-0.9178452492,0.01699292846,-1.265007854,0,0.9159078598,0.5690828562,-85.25493622
0.1262357086,0.3248223364,0.001526838401,-0.02108295262,1,-1.756857634,0.02113816887,-0.7231061459,0,1.372543573,-1.020326018,-85.85784149
0.1262357086,0.3296658993,-0.0004557586508,-0.01549507957,1,-0.5704314709,0.01550178044,-0.3282811642,0,-0.2272039354,-1.98382771,-91.68475342
0.1262357086,0.3345094621,-0.002336558886,-0.01306420937,1,-0.9046035409,0.0132715134,-1.252155423,0,-0.481564641,-2.048397064,-100.1402435
0.1262357086,0.3393530548,-0.00716977194,-0.01163842157,1,-1.167782545,0.01366961934,-1.136393666,0,-0.6091812849,-0.6873193979,-121.6348801
0.1262357086,0.3441966176,-0.01094342116,-0.0152393356,1,-4.433699608,0.01876155101,-1.757911682,0,-0.4197165966,2.508923531,-125.6822586
0.1262357086,0.3490402102,-0.03067767248,-0.03230516985,1,-11.02202225,0.04455045983,1.478312254,0,2.873421192,8.525078773,-133.5197906
0.1310792714,0.237637952,0.009774347767,-0.007669988088,1,-0.3665976524,0.01242443547,0.223449558,0,0.7295428514,0.9857369661,-38.12148666
0.1310792714,0.2424815297,0.01065332443,-0.009516087361,1,0.1600505114,0.01428458095,-0.1798146218,0,0.03487880528,0.6239189506,-41.77283859
0.1310792714,0.2473251075,0.01071850304,-0.01156293415,1,0.2304356992,0.01576666534,-0.09900781512,4.06893301,-0.1121006906,0.4494149983,-47.17037964
0.1310792714,0.2521686852,0.01122648921,-0.01217241585,1,0.1078713909,0.01655903831,0.06879881024,1.801514864,-0.02964412421,0.1443556994,-47.31498337
0.1310792714,0.257012248,0.01109740231,-0.01192889921,1,-0.1467816234,0.01629266702,0.09115159512,2.157198668,-0.06781177223,-0.0103710331,-47.06809616
0.1310792714,0.2618558407,0.01018708944,-0.01168068312,1,-0.3492407501,0.01549887564,0.04748593271,7.650875092,-0.10516835,0.09112423658,-48.90729904
0.1310792714,0.2666994035,0.008896436542,-0.01214026473,1,-0.3456902504,0.01505100075,-0.1695252061,3.134802341,-0.2692994475,0.1561240554,-53.7658844
0.1310792714,0.2715429962,0.007208338939,-0.01325799059,1,-0.4421429038,0.01509087346,-0.03545711935,10.16895103,0.0478425473,-0.06973388791,-61.46717453
0.1310792714,0.276386559,0.006986611988,-0.01197424252,1,-0.1028374434,0.01386344992,0.2540874183,0,0.166621685,-0.2150097489,-59.73771667
0.1310792714,0.2812301517,0.007517282851,-0.01098588202,1,0.122196801,0.01331161708,0.196980387,0,0.1203603372,-0.03013984114,-55.61742783
0.1310792714,0.2860737145,0.008161456324,-0.01087416802,1,-0.05854290724,0.0135962097,0.1427181512,0,0.0778145045,0.1896293908,-53.11045074
0.1310792714,0.2909172773,0.007610626053,-0.01121309958,1,-0.3213077188,0.0135519458,-0.02389723063,6.569205284,-0.1502152532,0.1889940947,-55.83422852
0.1310792714,0.29576087,0.005877598189,-0.01190532371,1,-0.3604702055,0.01327715628,-0.02466994524,7.601536274,-0.1485705078,0.2151934505,-63.72468185
0.1310792714,0.3006044328,0.005145047791,-0.01237489656,1,-0.05453204736,0.01340185013,-0.174912259,0,-0.1348257512,0.2322794348,-67.42417145
0.1310792714,0.3054480255,0.004960428923,-0.01387758832,1,0.2443755269,0.01473747939,-0.2076102495,0,-0.4348588586,0.4131563306,-70.33099365
0.1310792714,0.3102915883,0.004222427029,-0.01538162772,1,0.3218864501,0.0159506537,0.1911412179,0,-0.8997062445,0.3661405146,-74.64979553
0.1310792714,0.315135181,0.002161714016,-0.01472521108,1,-0.006892681122,0.01488303952,0.544110477,0,-0.9226080179,-0.05212020874,-81.64842987
0.1310792714,0.3199787438,-0.0002796817571,-0.01249373797,1,-0.6063372493,0.01249686815,0.1065976396,10.35696888,-0.3964519501,-0.1454855204,-91.28238678
0.1310792714,0.3248223364,-0.002695373259,-0.01350422669,1,-1.101387978,0.01377059147,-0.6000478268,21.3325882,-0.09101557732,-0.1520071924,-101.2876053
0.1310792714,0.3296658993,-0.006055180915,-0.01466385741,1,-0.7295220494,0.01586486585,-0.4848453999,0,-0.8466735482,-0.7872107029,-112.4373093
0.1310792714,0.3345094621,-0.01032977551,-0.01203970145,1,-0.4126226902,0.01586375386,-0.3870920241,0,-0.7293483019,-1.291020155,-130.6288147
0.1310792714,0.3393530548,-0.01158640627,-0.01028561126,1,0.20451352,0.01549317967,0.1146584153,3.793860912,0.04429856688,-1.231733799,-138.4035492
0.1310792714,0.3441966176,-0.009124634787,-0.005518346094,1,-0.2769064903,0.01066354103,1.164458513,0,1.337023735,-1.237107038,-148.8355255
0.1310792714,0.3490402102,-0.006451646332,0.001346558682,1,-2.613248348,0.006590672303,3.904468536,0,3.716969967,1.069835186,168.2107239
0.1359228492,0.237637952,0.01186781097,-0.007445617579,1,0.004418104887,0.01401007362,-0.3657951057,0,-0.1864887029,0.8647942543,-32.10330582
0.1359228492,0.2424815297,0.01142687444,-0.01042584516,1,0.1997029483,0.01546840928,-0.3934755027,0,-0.1750997603,0.6841892004,-42.37722778
0.1359228492,0.2473251075,0.01198697835,-0.01266537048,1,0.1228507906,0.01743844151,-0.03196711838,2.598988056,0.03914500773,0.5187859535,-46.57629013
0.1359228492,0.2521686852,0.01221151371,-0.01309346035,1,0.04933789,0.0179041829,0.1511063576,0,-0.1421751827,0.2350041568,-46.99610519
0.1359228492,0.257012248,0.01153731439,-0.01307173539,1,0.07371117175,0.01743501984,0.0839510411,0,-0.3618362546,0.1822123975,-48.56787872
0.1359228492,0.2618558407,0.01081595756,-0.01356939692,1,0.1607572436,0.017352622,0.0182774514,0,-0.5694385171,0.1880667508,-51.44218826
0.1359228492,0.2666994035,0.009557834826,-0.01389412303,1,-0.03110748529,0.01686412841,0.113565594,0,-0.6044999361,-0.03319145367,-55.4757309
0.1359228492,0.2715429962,0.007737343665,-0.01285856776,1,-0.2175649703,0.01500697341,0.1911735535,0,-0.3094989955,-0.2003677189,-58.96355438
0.1359228492,0.276386559,0.007004959509,-0.01199766248,1,-0.06364814937,0.01389292534,0.09120060503,0,-0.1380646974,-0.1694117039,-59.721035
0.1359228492,0.2812301517,0.006760331802,-0.01159627177,1,-0.00797932595,0.0134229511,-0.05175141245,0,-0.09004053473,-0.1129658297,-59.7589035
0.1359228492,0.2860737145,0.006530192681,-0.0117011657,1,-0.05023646355,0.01340002567,-0.1472881585,0,-0.02995401435,-0.1246007904,-60.83496475
0.1359228492,0.2909172773,0.006371924188,-0.01170615945,1,-0.03308463842,0.01332799997,-0.04554567486,0,0.04564474523,-0.1170436069,-61.43955994
0.1359228492,0.29576087,0.006591028534,-0.01135485992,1,-0.1599845588,0.0131291477,0.05341789871,2.711774826,0.09535024315,0.1385288537,-59.86660004
0.1359228492,0.3006044328,0.006058862898,-0.01211840101,1,-0.1232500672,0.01354863308,-0.04476708174,2.451041222,0.04511347786,0.4459529221,-63.43622208
0.1359228492,0.3054480255,0.006212567911,-0.01373170037,1,-0.08420243859,0.0150716817,-0.03304678202,1.0291152,0.06349889934,0.6890924573,-65.65680695
0.1359228492,0.3102915883,0.005958583672,-0.01561613847,1,-0.2380099446,0.01671431959,0.1421685219,0,-0.2354739755,0.7415235639,-69.11486053
0.1359228492,0.315135181,0.003919211682,-0.01663472317,1,-0.1555441022,0.01709017903,0.4329544902,0,-0.8233280778,0.4952956736,-76.74263763
0.1359228492,0.3199787438,0.001217340119,-0.0159180928,1,0.07859617472,0.01596457325,0.3584173322,0,-1.324576855,0.2664233446,-85.62680054
0.1359228492,0.3248223364,-0.002115792828,-0.01618914306,1,-0.161473453,0.01632681675,0.03029276058,0,-1.456006765,0.06010921672,-97.44589233
0.1359228492,0.3296658993,-0.006617051549,-0.01606251113,1,-0.506403923,0.01737209409,0.02937163413,0,-1.217290163,-0.299074769,-112.3895111
0.1359228492,0.3345094621,-0.01046461333,-0.0145982923,1,-0.3529216349,0.01796157658,0.2642820477,0,-0.8782660961,-0.4888961315,-125.634407
0.1359228492,0.3393530548,-0.01258040499,-0.01241443399,1,0.08702472597,0.01767440885,0.5676267147,0,-0.2585274279,-0.9139518738,-135.3804626
0.1359228492,0.3441966176,-0.01129529998,-0.00742215151,1,0.9518551826,0.01351562608,0.55008322,16.76297379,0.2860977948,-1.673504829,-146.69104
0.1359228492,0.3490402102,-0.00658428343,-0.001644312171,1,1.6611619,0.006786497775,0.3547790647,0,0.2840951085,-2.030987024,-165.9781647
0.1407664269,0.237637952,0.0121912891,-0.008594660088,1,0.03094139136,0.01491629053,-0.4216777682,0,-0.08456709981,0.7084015012,-35.18321228
0.1407664269,0.2424815297,0.01206141897,-0.01133147348,1,0.02448867261,0.01654932275,-0.03071123362,0,0.1582602859,0.6658213139,-43.21273804
0.1407664269,0.2473251075,0.01307644788,-0.0119683696,1,-0.08418869227,0.01772668399,-0.0201445967,0,0.2979204655,0.3449885845,-42.46666718
0.1407664269,0.2521686852,0.01309664547,-0.01310002431,1,-0.09032829851,0.01852384396,0.01026472449,1.696036577,-0.05210017413,0.4376637638,-45.00738907
0.1407664269,0.257012248,0.01238658559,-0.0140385069,1,-0.02474431694,0.01872183755,0.009153962135,0,-0.369615376,0.446314007,-48.57709503
0.1407664269,0.2618558407,0.01118653361,-0.015217443,1,-0.05699309707,0.01888674498,-0.02446415275,0,-0.5832052231,0.1570192277,-53.67992783
0.1407664269,0.2666994035,0.009285734966,-0.01491753571,1,-0.1662887931,0.0175715033,0.03835041076,0,-0.6642392874,-0.2742620707,-58.09892654
0.1407664269,0.2715429962,0.007163806353,-0.01370328013,1,-0.08831885457,0.01546285953,0.06484106183,0,-0.4645667374,-0.4684116542,-62.40031433
0.1407664269,0.276386559,0.006607790478,-0.01233468484,1,0.04614909738,0.01399311796,0.05571757257,0,-0.1378879547,-0.4232524037,-61.82168961
0.1407664269,0.2812301517,0.006719462108,-0.01138335187,1,-0.03845376521,0.01321861893,0.06172933429,0,0.0873330459,-0.2600898743,-59.44713211
0.1407664269,0.2860737145,0.006844541058,-0.01077592839,1,-0.1964075714,0.01276590675,0.021340359,0,0.217807129,-0.09253948927,-57.57753372
0.1407664269,0.2909172773,0.006823112257,-0.01083176769,1,-0.2268186808,0.01280164253,0.03471065313,1.094429731,0.2191314399,0.01254962757,-57.79248428
0.1407664269,0.29576087,0.006807307247,-0.01066858973,1,-0.1974007785,0.01265536342,0.02067547292,0,0.2521351874,0.170904696,-57.45927429
0.1407664269,0.3006044328,0.007088222541,-0.01155941468,1,-0.1062774658,0.01355960779,0.05776619911,0,0.3810186088,0.5725913644,-58.4834137
0.1407664269,0.3054480255,0.008138037287,-0.01316218544,1,-0.04785874486,0.01547484286,0.09586256742,0,0.3398817182,0.8824567199,-58.27194214
0.1407664269,0.3102915883,0.008502658457,-0.0153693445,1,-0.2955024242,0.01756450906,0.06888112426,6.665753365,-0.01011292636,1.059365749,-61.04767227
0.1407664269,0.315135181,0.006657765713,-0.01795967482,1,-0.4038082063,0.01915400103,0.1499321163,0,-0.7845439911,0.959410429,-69.65994263
0.1407664269,0.3199787438,0.002746782498,-0.01929011568,1,-0.1193585396,0.01948469691,0.1748875976,0,-1.721278787,0.5495538116,-81.89595032
0.1407664269,0.3248223364,-0.002257504268,-0.0197743997,1,-0.1875050664,0.01990284398,0.2110578716,0,-1.899442196,-0.0331883356,-96.51285553
0.1407664269,0.3296658993,-0.007361508906,-0.01810709015,1,-0.6051132679,0.01954631694,0.547339201,0,-1.286099315,-0.5242173672,-112.1243973
0.1407664269,0.3345094621,-0.01141771115,-0.01458424795,1,-0.6534904838,0.01852199808,0.5823230743,0,-0.5651025176,-0.6869391203,-128.0566864
0.1407664269,0.3393530548,-0.01326385885,-0.01195931993,1,-0.4781073332,0.01785931922,0.4302997589,2.734849691,-0.1718881279,-0.7756794691,-137.9606934
0.1407664269,0.3441966176,-0.01456601452,-0.008742993698,1,0.2612914741,0.01698848791,0.02587199211,0,-0.5310571194,-1.344179034,-149.0264587
0.1407664269,0.3490402102,-0.01457048953,-0.005323371384,1,1.673448205,0.01551249344,-1.073610187,0,-1.675295949,-2.48562932,-159.9300842
0.1456100047,0.237637952,0.01325657964,-0.00800509192,1,0.1079629362,0.01548607089,-0.3995126188,0,0.4067391455,0.3325165212,-31.12601471
0.1456100047,0.2424815297,0.01450307947,-0.009777911939,1,-0.350746274,0.01749133691,0.07349532843,0,0.4134697318,0.6535423994,-33.98767853
0.1456100047,0.2473251075,0.01356038544,-0.01081459504,1,-0.3065104783,0.01734472625,-0.06316894293,2.413778067,0.2813247144,0.5831276178,-38.57284546
0.1456100047,0.2521686852,0.01438109018,-0.01290829945,1,-0.04874907434,0.01932459325,-0.07998761535,0,0.08653597534,0.7308915854,-41.91078186
0.1456100047,0.257012248,0.01374340896,-0.01474214531,1,-0.1608124226,0.02015470527,-0.02117502689,0,-0.4426860809,0.6415266395,-47.00802994
0.1456100047,0.2618558407,0.01145799831,-0.01611814648,1,-0.170040518,0.01977575198,0.06060305238,0,-0.9300204515,0.3834717572,-54.5919075
0.1456100047,0.2666994035,0.008415178396,-0.01630598493,1,-0.00506067276,0.01834939793,0.06093608588,0,-1.166672349,-0.2357852161,-62.70268631
0.1456100047,0.2715429962,0.005782618187,-0.0146809537,1,-0.05943214893,0.01577875391,-0.01858517528,0,-0.5992550254,-0.7240399122,-68.50122833
0.1456100047,0.276386559,0.005224775989,-0.01288906019,1,0.1133811995,0.01390777342,-0.0245808959,0.3084317148,-0.1098840162,-0.7872279286,-67.93408203
0.1456100047,0.2812301517,0.005799557082,-0.01098701358,1,-0.08369082958,0.0124237407,0.06444260478,0,0.282006681,-0.5950235128,-62.17241287
0.1456100047,0.2860737145,0.006185334176,-0.009694884531,1,-0.2171949446,0.01149996277,-0.00663036108,0,0.3826260269,-0.3041073084,-57.46213531
0.1456100047,0.2909172773,0.006600833032,-0.009546165355,1,-0.2315960228,0.01160604414,0.01497336477,0,0.5069354773,-0.09184580296,-55.33752441
0.1456100047,0.29576087,0.007518962026,-0.009177497588,1,-0.1346214414,0.01186428498,0.1292154044,0,0.6530844569,0.1729804128,-50.67284012
0.1456100047,0.3006044328,0.009112048894,-0.009758144617,1,-0.1062065959,0.01335106138,0.1743551493,0,0.8148091435,0.726870656,-46.96098328
0.1456100047,0.3054480255,0.01095113344,-0.01185364928,1,-0.1161321402,0.01613803953,0.2128419876,0,0.5933179259,1.136887789,-47.26633453
0.1456100047,0.3102915883,0.01142333541,-0.01423383225,1,-0.4379526377,0.0182508789,0.0585539341,9.827080727,0.09549196064,1.426385164,-51.25128174
0.1456100047,0.315135181,0.009292398579,-0.01847884618,1,-0.5572057962,0.02068372443,-0.2349983454,0,-0.8254719973,1.714652538,-63.30369568
0.1456100047,0.3199787438,0.004726228304,-0.02367711812,1,-0.02320861816,0.02414421551,0.2610708475,0,-2.154245138,1.500278234,-78.71147156
0.1456100047,0.3248223364,-0.001254267874,-0.02448104322,1,0.3231914043,0.02451315336,1.10035181,0,-2.641991377,0.2092341781,-92.93293762
0.1456100047,0.3296658993,-0.006505059078,-0.01936092041,1,0.8682405949,0.0204245206,-0.1621954441,0,-2.87442112,-2.290972471,-108.571785
0.1456100047,0.3345094621,-0.01097132917,-0.01417017821,1,-0.5240421295,0.01792104915,-0.07265919447,0,-1.075647116,-1.813042641,-127.7490005
0.1456100047,0.3393530548,-0.01425327826,-0.0109312376,1,-1.038851261,0.01796240173,-0.1797188222,22.3469944,-0.3463424146,-0.7805607319,-142.5144043
0.1456100047,0.3441966176,-0.01768062264,-0.01125995349,1,-1.048820257,0.0209616553,-1.42350626,0,-0.9270864725,0.007868885994,-147.5088654
0.1456100047,0.3490402102,-0.02382373624,-0.01786421426,1,-1.06621182,0.02977751754,-2.788299561,0,-1.470382094,-0.06129062176,-143.1356354
0.1504535824,0.237637952,0.01186678838,-0.007147514261,1,0.4997124374,0.01385307312,-0.1998392791,0,1.034729481,-0.0006396174431,-31.06107712
0.1504535824,0.2424815297,0.0155828828,-0.007629933767,1,0.02387735248,0.01735056564,0.3397852778,0,0.7458263636,0.747258842,-26.08801651
